TournamentId,GameId,TournamentName,StartDate,EndDate,Location,Teamplay,TotalUSDPrize,GameName,Year
73076,839,LastOnline Summer Showdown,2025-07-25,2025-07-31,"Finland, Helsinki",1,2000.00,Counter-Strike 2,2025
73033,409,Monthly Cash Cup: 2v2 July - APAC,2025-07-30,2025-07-31,Online,1,4600.00,Rocket League,2025
73034,409,Monthly Cash Cup: 2v2 July - EU,2025-07-29,2025-07-31,Online,1,7800.00,Rocket League,2025
73048,409,Monthly Cash Cup: 2v2 July - NA,2025-07-29,2025-07-31,Online,1,7800.00,Rocket League,2025
73049,409,Monthly Cash Cup: 2v2 July - OCE,2025-07-30,2025-07-31,Online,1,6400.00,Rocket League,2025
73050,409,Monthly Cash Cup: 2v2 July - SAM,2025-07-29,2025-07-31,Online,1,6400.00,Rocket League,2025
73032,409,Monthly Cash Cup: 2v2 July - SSA,2025-07-30,2025-07-31,Online,1,4600.00,Rocket League,2025
73056,534,Tournament Lategame Victory Cup #2,2025-07-31,2025-07-31,Europe,0,1000.00,Fortnite,2025
73153,409,Uniliga: Summer Season 2025,2025-04-28,2025-07-31,Online,1,743.08,Rocket League,2025
73055,534,We Hosted an IRL Fortnite Tournament!,2025-07-31,2025-07-31,Oceania,0,1000.00,Fortnite,2025
73075,839,Dust2.in Masters #24,2025-07-27,2025-07-27,India,1,1500.00,Counter-Strike 2,2025
73068,839,eXTREMESLAND 2025 Cities Championship #1,2025-07-19,2025-07-27,China,1,16773.60,Counter-Strike 2,2025
73074,839,EZK Summer Showdown 2025,2025-07-27,2025-07-27,"Hong Kong, Kwun Tong",1,4000.00,Counter-Strike 2,2025
73043,510,Liên Tỉnh: Lào Cai Event #6,2025-07-26,2025-07-27,"Lào Cai, Vietnam",0,611.98,Age of Empires,2025
73073,839,NA Revival Series #7,2025-07-26,2025-07-27,North America,1,5000.00,Counter-Strike 2,2025
73072,839,Pavaga Summer Series 2025,2025-07-26,2025-07-27,"Belarus, Minsk",1,1530.46,Counter-Strike 2,2025
73070,839,roman Imperium Cup I,2025-07-25,2025-07-27,Portugal. Vila Nova de Gaia,1,5873.37,Counter-Strike 2,2025
73071,839,UPGrade Club Tournament Season 7,2025-07-26,2025-07-27,Uzbekistan,1,240.00,Counter-Strike 2,2025
73069,839,Urban Contenders #7,2025-07-22,2025-07-27,Europe,1,1500.00,Counter-Strike 2,2025
73067,839,Athena Cup #1,2025-07-26,2025-07-26,Europe,1,500.00,Counter-Strike 2,2025
73010,534,Team HavoK: Havok Cup,2025-07-23,2025-07-23,Europe,0,1000.00,Fortnite,2025
73008,534,Chapter 6 Season 3: Performance Evaluation EU #5,2025-07-22,2025-07-22,Online,1,4800.00,Fortnite,2025
73009,534,Chapter 6 Season 3: Performance Evaluation NAC #5,2025-07-22,2025-07-22,Online,1,4800.00,Fortnite,2025
73006,839,Whale.io Cup,2025-07-13,2025-07-22,Europe,1,20000.00,Counter-Strike 2,2025
73005,839,Winline Insight Season 7,2025-06-23,2025-07-22,Online,1,50000.00,Counter-Strike 2,2025
73007,409,Ascension Protocol - Finals,2025-07-19,2025-07-20,"Toronto, Canada",0,8300.00,Rocket League,2025
72997,839,Baltic Superfinals,2025-07-19,2025-07-20,"Latvia, Ventspils",1,3486.78,Counter-Strike 2,2025
72995,839,EPIC.LAN 45 (CS2),2025-07-18,2025-07-20,"Kettering, UK",1,4693.68,Counter-Strike 2,2025
72998,598,Esports World Cup 2025 [Free Fire],2025-07-16,2025-07-20,"Saudi Arabia, Riyadh",1,1000000.00,Free Fire,2025
72999,164,Esports World Cup 2025 [LOL],2025-07-16,2025-07-20,"Saudi Arabia, Riyadh",1,2000000.00,League of Legends,2025
72994,839,FISSURE PLAYGROUND #1,2025-07-15,2025-07-20,"Belgrade, Serbia",1,450000.00,Counter-Strike 2,2025
73002,839,Fragadelphia 19,2025-07-17,2025-07-20,"Canada, Windsor",1,35000.00,Counter-Strike 2,2025
72996,839,KHL Star Strike Season 2,2025-07-19,2025-07-20,Russia,1,6360.00,Counter-Strike 2,2025
73045,510,Liên Tỉnh 2025: Nghệ An Event #5,2025-07-19,2025-07-20,"Nghệ An, Vietnam",0,611.62,Age of Empires,2025
73001,839,Winline Star Series,2025-07-14,2025-07-20,Russia,1,50880.00,Counter-Strike 2,2025
72991,231,Esports World Cup 2025 [DOTA 2],2025-07-08,2025-07-19,"Saudi Arabia, Riyadh",1,3000000.00,Dota 2,2025
72990,534,TLP 2025,2025-07-19,2025-07-19,Spain,0,348.68,Fortnite,2025
72988,839,CCT Season 3 OCE Series #1,2025-07-07,2025-07-18,Online,1,6507.71,Counter-Strike 2,2025
73123,559,Nuvguard Heroes Invitational II,2025-07-18,2025-07-18,Online,1,3000.00,Minecraft,2025
72986,839,European Pro League Season 26,2025-06-30,2025-07-17,Online,1,20000.00,Counter-Strike 2,2025
73011,510,Earth to Iron,2025-05-26,2025-07-16,Online,0,330.00,Age of Empires,2025
72985,839,Exort Series #13,2025-06-26,2025-07-16,Europe,1,10000.00,Counter-Strike 2,2025
72987,534,Random Rumble #4,2025-07-15,2025-07-15,Europe,1,1130.00,Fortnite,2025
72974,839,United21 Season 34,2025-06-28,2025-07-15,Online,1,10000.00,Counter-Strike 2,2025
72976,534,TCS eSports League: 2025 #2,2025-07-14,2025-07-14,Europe,0,5652.69,Fortnite,2025
72968,534,$1000 Throwback Duo Cup,2025-07-13,2025-07-13,Europe,1,800.00,Fortnite,2025
73030,409,AGC 2025 Open,2025-07-12,2025-07-13,"Cape Town, South Africa",1,1116.04,Rocket League,2025
72958,566,ALGS: 2025 Midseason Playoffs,2025-07-10,2025-07-13,"Saudi Arabia, Riyadh",1,2000000.00,Apex Legends,2025
72967,534,Atlantic Summer Cup,2025-07-13,2025-07-13,Europe,1,1253.37,Fortnite,2025
72966,534,Aussie Cup #3,2025-07-13,2025-07-13,North America,1,2175.00,Fortnite,2025
72965,534,CFA Pro Scrims,2025-07-13,2025-07-13,Brazil,1,150.00,Fortnite,2025
72957,646,Esports World Cup 2025 (VALORANT),2025-07-08,2025-07-13,"Saudi Arabia, Riyadh",1,1250000.00,VALORANT,2025
72964,839,European Esports Championship 2025,2025-07-09,2025-07-13,"Kosovo, Pristina",1,29226.00,Counter-Strike 2,2025
72975,409,Horizon: MersEsports 2025,2025-07-13,2025-07-13,"Liverpool, England",1,1353.08,Rocket League,2025
72956,839,KIYARPEEK OPEN LAN,2025-07-13,2025-07-13,"Kazakhstan, Atyrau",1,588.65,Counter-Strike 2,2025
73042,510,Liên Tỉnh: Hà Nội Event #4,2025-07-12,2025-07-13,"Hà Nội, Vietnam",0,612.68,Age of Empires,2025
72962,839,Off Season Shenanigans Season 8,2025-06-10,2025-07-13,North America,1,2600.00,Counter-Strike 2,2025
72959,839,The Proving Grounds Season 2,2025-07-01,2025-07-13,Europe,1,84755.40,Counter-Strike 2,2025
72963,839,Thunderpick World Championship 2025: SA Series #2,2025-07-08,2025-07-13,Online,1,25000.00,Counter-Strike 2,2025
73118,559,Escape the Squid Games,2025-07-11,2025-07-12,Online,0,3000.00,Minecraft,2025
72947,839,Female European Esports Championship 2025,2025-07-09,2025-07-12,"Kosovo, Pristina",1,11690.40,Counter-Strike 2,2025
72946,534,FilipeQx Cup #1,2025-07-12,2025-07-12,Europe,1,137.01,Fortnite,2025
73120,559,FunnieWars World Cup July 12 2025,2025-07-12,2025-07-12,Online,1,130.00,Minecraft,2025
72950,839,Grind Asia Cup,2025-07-12,2025-07-12,Central Asia,1,667.00,Counter-Strike 2,2025
72952,534,"Last to Lose in Fortnite Wins $10,000",2025-07-12,2025-07-12,Oceania,0,10000.00,Fortnite,2025
72955,164,Mid-Season Invitational 2025,2025-06-27,2025-07-12,"Chengdu, China",1,2000000.00,League of Legends,2025
72977,409,RL Ireland: Cork LAN 2025,2025-07-12,2025-07-12,"Cork, Ireland",1,818.23,Rocket League,2025
72951,534,Solary Academy Cup #2,2025-07-12,2025-07-12,Europe,0,467.62,Fortnite,2025
72954,547,Freestyle Friday 25,2025-07-11,2025-07-11,Online,0,1000.00,Chess.com,2025
72942,534,K13 x DOIG CUP,2025-07-10,2025-07-10,Online,0,469.85,Fortnite,2025
72943,534,The Milk Cup 2025: Series 2,2025-07-10,2025-07-10,Online,1,30000.00,Fortnite,2025
72936,534,Poyo Solo Victory Cup,2025-07-09,2025-07-09,Europe,0,1500.00,Fortnite,2025
72932,534,Normativa Unreal Series,2025-07-07,2025-07-07,"Spain, Valencia",0,3534.49,Fortnite,2025
